LR,pval,hr,median_day_low,median_day_high,diff_day
NID1->PTPRF,0.07897496378207536,1.236985752442407,437,608,171
COMP->ITGB3,0.07898870684480686,1.254826145270675,455.5,587,131.5
ADAM9->ITGAV,0.07908128126833969,0.7748613631598831,627.5,446,-181.5
PDCD1LG2->PDCD1,0.07941957788430776,0.841421666630425,629.5,456,-173.5
TG->ASGR1,0.07942096157183864,1.2209213733447883,459.5,625,165.5
EFNA3->EPHA3,0.07956887051406902,1.2034920023134688,394.5,590,195.5
APOE->SCARB1,0.07963142030687853,0.6967512919160492,600,456,-144
FN1->ITGA5,0.07971145633556265,0.7233213755385898,582.5,456,-126.5
MMP2->SDC2,0.08022689378385972,0.6768910119126281,626,456,-170
IGF2->IGF2R,0.08029418895574936,1.3316750863203901,459.5,625,165.5
FN1->ITGA2,0.08155265435397674,0.6873146917299315,589.5,456,-133.5
LGI4->ADAM22,0.08176127900268637,0.7514608900454073,600,446,-154
IL33->IL1RL1,0.08198448709860173,1.4731108103887651,467,547,80
FGA->ITGB2,0.08209539393252374,0.7614168236296037,630.5,456,-174.5
FN1->ITGB1,0.08249360870259026,0.7327241751633313,592,455.5,-136.5
ARF1->PLD2,0.08286442962430474,1.3165753355554497,437,608,171
ALCAM->CHL1,0.08290886306379297,0.7739519096390939,599,444,-155
SCT->VIPR1,0.08320430368712461,1.435630521405087,456,606,150
TNFSF13B->TNFRSF13C,0.0833490477424369,1.5159974370694491,469,587,118
EFNA4->EPHA2,0.08368325831847678,0.6511979756631364,534.5,512,-22.5
CD99->PILRA,0.08448264327204535,1.138653739490456,459,592,133
SLAMF1->SLAMF1,0.08480993426679984,1.5740761785991961,544,522,-22
WNT7B->FZD1,0.0855416460430477,0.7714536266082431,626,444,-182
CCL3L3->CCR5,0.0870486387782663,1.3982057095272233,467,576,109
A2M->LRP1,0.08775786735355695,1.2545076034394456,483,579,96
SCT->VIPR2,0.08779009206975141,0.724266983937259,602,456,-146
FN1->COL13A1,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->SDC2,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGA4,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGB7,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGA8,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGB3,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGA9,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGA2B,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->TSHR,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->MAG,0.08857858112518202,0.7257258831988611,582.5,456,-126.5
FN1->ITGB6,0.08890595672925838,0.7078104671231663,589.5,456,-133.5
